,name,artist,id,duration,popularity,features,timestamp,created_at,genres
49,'OK Not To Be OK','Marshmello',0zzVTGyRrWpQu8Fr28NRAv,159862,75,"{""danceability"": 0.743, ""energy"": 0.837, ""key"": 1, ""loudness"": -5.025, ""mode"": 0, ""speechiness"": 0.0649, ""acousticness"": 0.0172, ""instrumentalness"": 0, ""liveness"": 0.0743, ""valence"": 0.263, ""tempo"": 103.072, ""type"": ""audio_features"", ""id"": ""0zzVTGyRrWpQu8Fr28NRAv"", ""uri"": ""spotify:track:0zzVTGyRrWpQu8Fr28NRAv"", ""track_href"": ""https://api.spotify.com/v1/tracks/0zzVTGyRrWpQu8Fr28NRAv"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/0zzVTGyRrWpQu8Fr28NRAv"", ""duration_ms"": 159863, ""time_signature"": 4}",1663362250,1663418932,
48,'Beautiful Mistakes (feat. Megan Thee Stallion)','Maroon 5',5zFglKYiknIxks8geR8rcL,227395,82,"{""danceability"": 0.713, ""energy"": 0.676, ""key"": 10, ""loudness"": -5.483, ""mode"": 1, ""speechiness"": 0.027, ""acousticness"": 0.0377, ""instrumentalness"": 0, ""liveness"": 0.154, ""valence"": 0.721, ""tempo"": 99.048, ""type"": ""audio_features"", ""id"": ""5zFglKYiknIxks8geR8rcL"", ""uri"": ""spotify:track:5zFglKYiknIxks8geR8rcL"", ""track_href"": ""https://api.spotify.com/v1/tracks/5zFglKYiknIxks8geR8rcL"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/5zFglKYiknIxks8geR8rcL"", ""duration_ms"": 227395, ""time_signature"": 4}",1663363174,1663418931,
47,'Back To You - From 13 Reasons Why – Season 2 Soundtrack','Selena Gomez',4hQ6UGyWQIGJmHSo0J88JW,207904,73,"{""danceability"": 0.601, ""energy"": 0.724, ""key"": 6, ""loudness"": -4.856, ""mode"": 1, ""speechiness"": 0.0486, ""acousticness"": 0.0945, ""instrumentalness"": 1.68e-06, ""liveness"": 0.12, ""valence"": 0.508, ""tempo"": 102.061, ""type"": ""audio_features"", ""id"": ""4hQ6UGyWQIGJmHSo0J88JW"", ""uri"": ""spotify:track:4hQ6UGyWQIGJmHSo0J88JW"", ""track_href"": ""https://api.spotify.com/v1/tracks/4hQ6UGyWQIGJmHSo0J88JW"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4hQ6UGyWQIGJmHSo0J88JW"", ""duration_ms"": 207905, ""time_signature"": 4}",1663364261,1663418931,
46,'Mama','Jonas Blue',7jEyX4bqaCSdMN4D4JNnVj,184133,74,"{""danceability"": 0.738, ""energy"": 0.794, ""key"": 11, ""loudness"": -4.118, ""mode"": 0, ""speechiness"": 0.0416, ""acousticness"": 0.101, ""instrumentalness"": 0, ""liveness"": 0.0533, ""valence"": 0.566, ""tempo"": 104.014, ""type"": ""audio_features"", ""id"": ""7jEyX4bqaCSdMN4D4JNnVj"", ""uri"": ""spotify:track:7jEyX4bqaCSdMN4D4JNnVj"", ""track_href"": ""https://api.spotify.com/v1/tracks/7jEyX4bqaCSdMN4D4JNnVj"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7jEyX4bqaCSdMN4D4JNnVj"", ""duration_ms"": 184134, ""time_signature"": 4}",1663364446,1663418931,
45,'Kings & Queens','Ava Max',7a53HqqArd4b9NF4XAmlbI,162398,81,"{""danceability"": 0.637, ""energy"": 0.69, ""key"": 1, ""loudness"": -4.057, ""mode"": 0, ""speechiness"": 0.0405, ""acousticness"": 0.00786, ""instrumentalness"": 0, ""liveness"": 0.124, ""valence"": 0.457, ""tempo"": 129.857, ""type"": ""audio_features"", ""id"": ""7a53HqqArd4b9NF4XAmlbI"", ""uri"": ""spotify:track:7a53HqqArd4b9NF4XAmlbI"", ""track_href"": ""https://api.spotify.com/v1/tracks/7a53HqqArd4b9NF4XAmlbI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7a53HqqArd4b9NF4XAmlbI"", ""duration_ms"": 162399, ""time_signature"": 4}",1663364475,1663418931,
44,'Memories','Maroon 5',4cktbXiXOapiLBMprHFErI,189486,85,"{""danceability"": 0.775, ""energy"": 0.327, ""key"": 11, ""loudness"": -7.241, ""mode"": 1, ""speechiness"": 0.0557, ""acousticness"": 0.841, ""instrumentalness"": 0, ""liveness"": 0.0821, ""valence"": 0.595, ""tempo"": 91.05, ""type"": ""audio_features"", ""id"": ""4cktbXiXOapiLBMprHFErI"", ""uri"": ""spotify:track:4cktbXiXOapiLBMprHFErI"", ""track_href"": ""https://api.spotify.com/v1/tracks/4cktbXiXOapiLBMprHFErI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4cktbXiXOapiLBMprHFErI"", ""duration_ms"": 189486, ""time_signature"": 4}",1663379934,1663418930,
43,'Before You Go','Lewis Capaldi',7ce20yLkzuXXLUhzIDoZih,215106,74,"{""danceability"": 0.459, ""energy"": 0.575, ""key"": 3, ""loudness"": -4.858, ""mode"": 1, ""speechiness"": 0.0573, ""acousticness"": 0.604, ""instrumentalness"": 0, ""liveness"": 0.0885, ""valence"": 0.183, ""tempo"": 111.881, ""type"": ""audio_features"", ""id"": ""7ce20yLkzuXXLUhzIDoZih"", ""uri"": ""spotify:track:7ce20yLkzuXXLUhzIDoZih"", ""track_href"": ""https://api.spotify.com/v1/tracks/7ce20yLkzuXXLUhzIDoZih"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/7ce20yLkzuXXLUhzIDoZih"", ""duration_ms"": 215107, ""time_signature"": 4}",1663380150,1663418930,
42,'Lover','Taylor Swift',1dGr1c8CrMLDpV6mPbImSI,221306,84,"{""danceability"": 0.359, ""energy"": 0.543, ""key"": 7, ""loudness"": -7.582, ""mode"": 1, ""speechiness"": 0.0919, ""acousticness"": 0.492, ""instrumentalness"": 1.58e-05, ""liveness"": 0.118, ""valence"": 0.453, ""tempo"": 68.534, ""type"": ""audio_features"", ""id"": ""1dGr1c8CrMLDpV6mPbImSI"", ""uri"": ""spotify:track:1dGr1c8CrMLDpV6mPbImSI"", ""track_href"": ""https://api.spotify.com/v1/tracks/1dGr1c8CrMLDpV6mPbImSI"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1dGr1c8CrMLDpV6mPbImSI"", ""duration_ms"": 221307, ""time_signature"": 4}",1663380373,1663418930,
41,'Heather','Conan Gray',4xqrdfXkTW4T0RauPLv3WA,198040,86,"{""danceability"": 0.357, ""energy"": 0.425, ""key"": 5, ""loudness"": -7.301, ""mode"": 1, ""speechiness"": 0.0333, ""acousticness"": 0.584, ""instrumentalness"": 0, ""liveness"": 0.322, ""valence"": 0.27, ""tempo"": 102.078, ""type"": ""audio_features"", ""id"": ""4xqrdfXkTW4T0RauPLv3WA"", ""uri"": ""spotify:track:4xqrdfXkTW4T0RauPLv3WA"", ""track_href"": ""https://api.spotify.com/v1/tracks/4xqrdfXkTW4T0RauPLv3WA"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/4xqrdfXkTW4T0RauPLv3WA"", ""duration_ms"": 198040, ""time_signature"": 3}",1663380571,1663418929,
40,'What Am I','Why Don't We',1HimGOB6BjOaCQYMIF1xtU,184665,66,"{""danceability"": 0.614, ""energy"": 0.647, ""key"": 0, ""loudness"": -4.681, ""mode"": 0, ""speechiness"": 0.0524, ""acousticness"": 0.0687, ""instrumentalness"": 0, ""liveness"": 0.104, ""valence"": 0.368, ""tempo"": 163.862, ""type"": ""audio_features"", ""id"": ""1HimGOB6BjOaCQYMIF1xtU"", ""uri"": ""spotify:track:1HimGOB6BjOaCQYMIF1xtU"", ""track_href"": ""https://api.spotify.com/v1/tracks/1HimGOB6BjOaCQYMIF1xtU"", ""analysis_url"": ""https://api.spotify.com/v1/audio-analysis/1HimGOB6BjOaCQYMIF1xtU"", ""duration_ms"": 184665, ""time_signature"": 4}",1663380756,1663418929,
